iter	Passed	Remaining
0	1	862
1	3	800
2	4	749
3	5	714
4	7	740
5	8	718
6	10	705
7	11	695
8	12	674
9	13	646
10	14	624
11	14	605
12	15	589
13	16	574
14	17	563
15	18	552
16	19	542
17	19	534
18	20	526
19	21	515
20	22	505
21	22	493
22	23	483
23	23	474
24	24	465
25	25	457
26	25	449
27	26	442
28	26	435
29	27	429
30	28	423
31	28	418
32	29	414
33	29	409
34	30	405
35	31	400
36	31	394
37	32	389
38	32	383
39	32	378
40	33	373
41	33	369
42	34	364
43	34	360
44	35	356
45	35	355
46	36	351
47	36	347
48	37	344
49	38	342
50	38	338
51	38	335
52	39	332
53	39	329
54	40	325
55	40	322
56	41	320
57	41	317
58	42	314
59	42	312
60	43	310
61	43	308
62	44	306
63	44	304
64	45	301
65	45	299
66	46	297
67	46	295
68	46	292
69	47	290
70	47	288
71	48	286
72	48	284
73	49	282
74	49	281
75	50	279
76	50	277
77	51	276
78	51	275
79	52	273
80	52	271
81	52	269
82	53	268
83	53	266
84	54	264
85	54	263
86	55	261
87	55	260
88	56	259
89	56	257
90	57	258
91	58	257
92	58	256
93	59	255
94	59	253
95	60	252
96	60	251
97	60	249
98	61	248
99	61	247
100	62	246
101	62	244
102	63	243
103	63	242
104	64	241
105	64	240
106	65	239
107	65	238
108	66	237
109	66	236
110	67	235
111	67	234
112	68	233
113	68	232
114	69	231
115	69	230
116	70	229
117	70	228
118	71	227
119	71	226
120	72	225
121	72	224
122	72	223
123	73	222
124	73	221
125	74	220
126	74	219
127	75	218
128	75	217
129	76	216
130	76	215
131	77	216
132	78	215
133	78	214
134	78	213
135	79	212
136	79	211
137	80	210
138	80	209
139	81	209
140	81	208
141	82	207
142	82	206
143	83	207
144	84	206
145	84	206
146	85	205
147	85	204
148	86	203
149	86	202
150	87	201
151	87	201
152	88	200
153	88	199
154	89	198
155	89	197
156	90	196
157	90	196
158	91	195
159	91	194
160	91	193
161	92	192
162	92	191
163	93	191
164	93	190
165	94	189
166	94	188
167	95	188
168	95	187
169	96	186
170	96	185
171	97	185
172	97	184
173	98	183
174	98	183
175	99	182
176	99	181
177	99	180
178	100	180
179	100	179
180	101	178
181	101	177
182	102	176
183	102	176
184	103	175
185	103	174
186	103	173
187	104	173
188	104	172
189	105	172
190	106	172
191	107	172
192	108	171
193	109	172
194	109	171
195	110	170
196	110	170
197	110	169
198	111	168
199	111	167
200	112	167
201	112	166
202	113	165
203	113	165
204	114	164
205	114	163
206	115	163
207	115	162
208	116	161
209	116	161
210	117	160
211	117	159
212	118	159
213	118	158
